date,start,high,low,end,end_5,end_20,end_60,end_120,amount,amount_5,amount_20,amount_60,amount_120
2000-01-01,26329,29951,24696,29951,28033,30260,34571,39036,172340,93244,97037,88916,99205
2000-01-02,26329,29951,24696,29951,28033,30260,34571,39036,172340,93244,97037,88916,99205
2000-01-03,26329,29951,24696,29951,28033,30260,34571,39036,172340,93244,97037,88916,99205
2000-01-04,28064,28880,26533,27247,27910,30020,34415,38913,80930,94802,98412,89226,98553
2000-01-05,28370,29594,27247,27553,27931,29658,34271,38772,109840,105560,98695,89909,98198
2000-01-06,28574,28880,25920,25920,27400,29321,34093,38633,62480,103670,98572,90383,96913
2000-01-07,26533,27298,26125,26482,27431,29089,33927,38489,42650,93648,96583,90529,96441
2000-01-08,26533,27298,26125,26482,27431,29089,33927,38489,42650,93648,96583,90529,96441
2000-01-09,26533,27298,26125,26482,27431,29089,33927,38489,42650,93648,96583,90529,96441
2000-01-10,26023,27247,26023,26278,26696,28933,33742,38342,46850,68550,92813,90482,95483
2000-01-11,25818,26686,25665,25920,26431,28949,33556,38204,78200,68004,93302,90900,94095
2000-01-12,26329,28370,26125,26533,26227,28939,33409,38062,135520,73140,91102,92283,87617
2000-01-13,27043,27298,24594,24594,25961,28632,33211,37860,68230,74290,87432,91852,84646
2000-01-14,26023,26839,25002,25818,25829,28293,33044,37685,142450,94250,87857,93806,84349
2000-01-15,26023,26839,25002,25818,25829,28293,33044,37685,142450,94250,87857,93806,84349
2000-01-16,26023,26839,25002,25818,25829,28293,33044,37685,142450,94250,87857,93806,84349
2000-01-17,26533,26533,25104,25410,25655,27859,32864,37540,80380,100956,84724,94699,83577
2000-01-18,26227,27247,25410,26125,25696,27533,32701,37392,263300,137976,91407,98682,83986
2000-01-19,26431,26431,24492,24492,25288,27130,32506,37206,106720,132216,93684,99822,83446
2000-01-20,23675,24492,21634,23675,25104,26732,32291,36999,76730,133916,94965,100415,82201
2000-01-21,23165,23931,22094,23267,24594,26377,32042,36799,92050,123836,96000,100861,82339
2000-01-22,23165,23931,22094,23267,24594,26377,32042,36799,92050,123836,96000,100861,82339
2000-01-23,23165,23931,22094,23267,24594,26377,32042,36799,92050,123836,96000,100861,82339
2000-01-24,23267,23982,22859,23420,24196,26145,31827,36624,60890,119938,95672,100935,81750
2000-01-25,23420,23420,22043,22043,23379,25854,31577,36441,53840,78046,94707,101202,81648
2000-01-26,22349,22859,21941,22298,22941,25596,31326,36267,80070,72716,95908,101987,81941
2000-01-27,21532,23982,21532,23675,22941,25352,31111,36108,150660,87502,99845,103920,82351
2000-01-28,24084,26533,23777,26533,23594,25362,30941,35964,322300,133552,111322,105521,84520
2000-01-29,24084,26533,23777,26533,23594,25362,30941,35964,322300,133552,111322,105521,84520
2000-01-30,24084,26533,23777,26533,23594,25362,30941,35964,322300,133552,111322,105521,84520
2000-01-31,26431,26431,25206,26074,24124,25168,30762,35812,81430,137660,106776,104890,84904
2000-02-01,26074,27094,26023,26227,24961,25117,30585,35664,125520,151996,109006,104700,85631
2000-02-02,26227,27043,25614,26941,25890,25086,30420,35530,99590,155900,108493,104352,86214
2000-02-03,27043,27757,26380,26635,26482,25122,30255,35397,120470,149862,111393,104921,86911
2000-02-04,27043,27757,26380,26635,26482,25122,30255,35397,120470,149862,111393,104921,86911
2000-02-05,27043,27757,26380,26635,26482,25122,30255,35397,120470,149862,111393,104921,86911
2000-02-06,27043,27757,26380,26635,26482,25122,30255,35397,120470,149862,111393,104921,86911
2000-02-07,26635,27247,25920,26431,26461,25119,30082,35260,105700,106542,114545,105457,87510
2000-02-08,26482,26635,25716,26227,26492,25117,29873,35125,96620,109580,117034,105099,88032
2000-02-09,26482,26482,25206,25410,26329,25091,29673,34983,79600,100396,117104,104547,88466
2000-02-10,25104,25104,23982,24492,25839,24989,29375,34838,73040,95086,113980,103141,88716
2000-02-11,23573,24492,23267,23982,25308,24959,29086,34688,84280,87848,114782,98447,88958
2000-02-12,23573,24492,23267,23982,25308,24959,29086,34688,84280,87848,114782,98447,88958
2000-02-13,23573,24492,23267,23982,25308,24959,29086,34688,84280,87848,114782,98447,88958
2000-02-14,22859,24492,22094,23471,24716,24841,28831,34539,45450,75798,109932,98573,89162
2000-02-15,23369,24747,22961,23675,24206,24755,28630,34395,69620,70398,109394,98662,89535
