date,start,high,low,end,end_5,end_20,end_60,end_120,amount,amount_5,amount_20,amount_60,amount_120
2000-01-01,451481,473074,428907,473074,441470,438575,450331,511618,9383380,7284206,8136277,10531846,10554686
2000-01-02,451481,473074,428907,473074,441470,438575,450331,511618,9383380,7284206,8136277,10531846,10554686
2000-01-03,451481,473074,428907,473074,441470,438575,450331,511618,9383380,7284206,8136277,10531846,10554686
2000-01-04,484852,519204,475037,505463,455015,440293,449938,513078,9275920,7719844,8233686,10443164,10579131
2000-01-05,474056,489759,446574,453444,462867,439409,448782,514038,7414370,7954132,8236593,10277334,10594040
2000-01-06,461296,467185,424981,429889,462474,438035,447692,514521,6529140,8262156,8347217,10237752,10490883
2000-01-07,416148,439704,408296,425963,457567,436318,446950,514713,10492270,8619016,8568266,10191510,10444241
2000-01-08,416148,439704,408296,425963,457567,436318,446950,514713,10492270,8619016,8568266,10191510,10444241
2000-01-09,416148,439704,408296,425963,457567,436318,446950,514713,10492270,8619016,8568266,10191510,10444241
2000-01-10,431852,437741,422037,422037,447359,436269,446054,514369,8041690,8350678,8552724,10176058,10340054
2000-01-11,431852,457370,429889,437741,433815,437544,445687,513874,11268920,8749278,8662506,10223768,10263958
2000-01-12,431852,455407,427926,443630,431852,438281,445240,513695,6916500,8649704,8598369,10123983,10211739
2000-01-13,451481,462278,441667,461296,438133,439556,445087,513264,11180640,9580004,8755573,10196090,10159524
2000-01-14,476019,482889,443630,447556,442452,440685,445267,512821,12338010,9949152,9087102,10316865,10126835
2000-01-15,476019,482889,443630,447556,442452,440685,445267,512821,12338010,9949152,9087102,10316865,10126835
2000-01-16,476019,482889,443630,447556,442452,440685,445267,512821,12338010,9949152,9087102,10316865,10126835
2000-01-17,465222,501537,459333,488778,455800,444513,446387,513122,20475240,12435862,9832210,10543279,10157401
2000-01-18,490741,504481,472093,490741,466400,448930,447671,513883,14581100,13098298,10290489,10670228,10169336
2000-01-19,490741,502519,480926,480926,473859,452856,448852,514221,13326650,14380328,10584365,10507404,10198230
2000-01-20,477981,530000,468167,530000,487600,456242,450998,515073,24274380,16999076,11054108,10758302,10321577
2000-01-21,520185,557481,518222,522148,502519,459284,453768,515326,31238800,20779234,11774559,11125794,10467088
2000-01-22,520185,557481,518222,522148,502519,459284,453768,515326,31238800,20779234,11774559,11125794,10467088
2000-01-23,520185,557481,518222,522148,502519,459284,453768,515326,31238800,20779234,11774559,11125794,10467088
2000-01-24,537852,546685,526074,530000,510763,463848,456536,515423,12233700,19130926,11800418,11109715,10418402
2000-01-25,520185,526074,506444,508407,514296,467381,459092,515014,10446560,18304018,11967860,11161977,10372309
2000-01-26,513315,522148,506444,519204,521952,472632,461532,514755,9108240,17460336,12111125,10952253,10368097
2000-01-27,520185,526074,500556,510370,518026,476558,464135,514362,8991610,14403782,12311255,10832404,10375336
2000-01-28,510370,549630,506444,543741,522344,481220,466925,514692,16882700,11532562,12719991,10823515,10444892
2000-01-29,510370,549630,506444,543741,522344,481220,466925,514692,16882700,11532562,12719991,10823515,10444892
2000-01-30,510370,549630,506444,543741,522344,481220,466925,514692,16882700,11532562,12719991,10823515,10444892
2000-01-31,530981,535889,516259,518222,519989,483478,468756,514617,12865150,11658852,12894080,10764212,10488399
2000-02-01,510370,516259,480926,480926,514493,482251,470026,513572,19525890,13474718,13406578,10863509,10486932
2000-02-02,479944,480926,455407,469148,504481,483036,470300,512200,16169750,14887020,13844347,10879027,10470225
2000-02-03,463259,473074,446574,452463,492900,484165,469497,510793,15889810,16266660,14312381,10776635,10482513
2000-02-04,463259,473074,446574,452463,492900,484165,469497,510793,15889810,16266660,14312381,10776635,10482513
2000-02-05,463259,473074,446574,452463,492900,484165,469497,510793,15889810,16266660,14312381,10776635,10482513
2000-02-06,463259,473074,446574,452463,492900,484165,469497,510793,15889810,16266660,14312381,10776635,10482513
2000-02-07,444611,464241,437741,451481,474448,485441,469151,509348,13440440,15578208,14459789,10736891,10540627
2000-02-08,465222,476019,459333,468167,464437,487747,468935,508071,11379520,15281082,14626681,10708175,10553867
2000-02-09,473074,477000,455407,459333,460119,488827,468854,506994,6816770,12739258,14404073,10565540,10547169
2000-02-10,451481,468167,447556,457370,457763,489514,468150,506382,8519970,11209302,14484247,10468919,10523674
2000-02-11,462278,466204,433815,437741,454819,488336,466155,505592,8009860,9633312,14325708,10312434,10493621
2000-02-12,462278,466204,433815,437741,454819,488336,466155,505592,8009860,9633312,14325708,10312434,10493621
2000-02-13,462278,466204,433815,437741,454819,488336,466155,505592,8009860,9633312,14325708,10312434,10493621
2000-02-14,422037,428907,408296,410259,446574,486471,463766,504721,9164960,8778216,14167055,10237203,10524948
2000-02-15,418111,425963,404370,419093,436759,482987,461852,503893,8521020,8206516,13569344,10211011,10555196
2000-02-16,419093,422037,390630,410259,426944,478963,460609,502674,9506460,8744454,13315612,10158110,10592779
2000-02-17,392593,402407,388667,398481,415167,474841,458875,501231,10655220,9171504,13182041,10167950,10617475
2000-02-18,396519,409278,393574,398481,407315,468265,457240,499522,10465220,9662576,12491583,10198321,10618340
