date,start,high,low,end,end_5,end_20,end_60,end_120,amount,amount_5,amount_20,amount_60,amount_120
2000-01-01,42013,45086,41888,45023,44647,48795,46609,47121,959440,896574,1800750,1160711,1220999
2000-01-02,42013,45086,41888,45023,44647,48795,46609,47121,959440,896574,1800750,1160711,1220999
2000-01-03,42013,45086,41888,45023,44647,48795,46609,47121,959440,896574,1800750,1160711,1220999
2000-01-04,46528,51544,46152,50290,45550,49039,46712,47166,951270,867712,1760796,1154521,1216587
2000-01-05,49538,52422,46779,47406,46001,48832,46722,47207,1268190,875418,1598823,1149382,1218826
2000-01-06,46152,47029,43581,44521,46026,48597,46703,47254,2547070,1252720,1630765,1172356,1227883
2000-01-07,44521,49036,43894,47657,46979,48588,46756,47304,1784030,1502000,1650449,1187084,1231058
2000-01-08,44521,49036,43894,47657,46979,48588,46756,47304,1784030,1502000,1650449,1187084,1231058
2000-01-09,44521,49036,43894,47657,46979,48588,46756,47304,1784030,1502000,1650449,1187084,1231058
2000-01-10,51419,51419,48409,50165,48008,48738,46833,47325,1621580,1634428,1654144,1202170,1219643
2000-01-11,49036,50541,49036,50039,47958,48688,46873,47347,913630,1626900,1562176,1202342,1215249
2000-01-12,49663,51043,49036,50039,48484,48556,46912,47386,870140,1547290,1483756,1202431,1214980
2000-01-13,49287,50416,48911,50416,49663,48412,46963,47432,810170,1199910,1456781,1205415,1212603
2000-01-14,50416,51670,49538,51168,50365,48318,47057,47479,830820,1009268,1431131,1212262,1208318
2000-01-15,50416,51670,49538,51168,50365,48318,47057,47479,830820,1009268,1431131,1212262,1208318
2000-01-16,50416,51670,49538,51168,50365,48318,47057,47479,830820,1009268,1431131,1212262,1208318
2000-01-17,51795,52673,51043,52548,50842,48469,47175,47564,724660,829884,1420533,1216980,1205918
2000-01-18,52798,55557,52046,54742,51783,48666,47323,47677,1693480,985854,1428640,1236616,1210410
2000-01-19,53927,54429,51544,52422,52259,48541,47453,47741,906950,993216,1241740,1246635,1205429
2000-01-20,51419,55808,49663,55808,53338,48845,47630,47826,652840,961750,1147701,1249770,1196478
2000-01-21,52548,53802,50290,50290,53162,48857,47722,47845,698230,935232,1106775,1255698,1187843
2000-01-22,52548,53802,50290,50290,53162,48857,47722,47845,698230,935232,1106775,1255698,1187843
2000-01-23,52548,53802,50290,50290,53162,48857,47722,47845,698230,935232,1106775,1255698,1187843
2000-01-24,50541,51670,49789,49914,52635,49033,47812,47880,479220,886144,1061758,1259821,1174712
2000-01-25,48409,50917,47907,48597,51406,49174,47889,47908,465810,640610,1030269,1263584,1169721
2000-01-26,49036,50039,48785,48785,50679,49356,47958,47919,414110,542042,989492,1264694,1154824
2000-01-27,47970,52673,47719,50165,49550,49644,48035,47951,913440,594162,1002136,1272596,1154374
2000-01-28,51419,51670,49287,50165,49525,50008,48081,48002,468850,548286,998697,1271976,1148799
2000-01-29,51419,51670,49287,50165,49525,50008,48081,48002,468850,548286,998697,1271976,1148799
2000-01-30,51419,51670,49287,50165,49525,50008,48081,48002,468850,548286,998697,1271976,1148799
2000-01-31,50165,51293,49412,50165,49575,50265,48106,48047,710280,594498,986239,1260797,1148896
2000-02-01,50353,51043,48848,49036,49663,50202,48114,48075,754550,652246,976403,1262403,1151686
2000-02-02,48785,51419,48785,50917,50090,50378,48154,48113,525690,674562,939278,1257705,1149197
2000-02-03,50917,51419,50541,51231,50303,50713,48197,48154,390380,569950,831443,1252737,1142578
2000-02-04,50917,51419,50541,51231,50303,50713,48197,48154,390380,569950,831443,1252737,1142578
2000-02-05,50917,51419,50541,51231,50303,50713,48197,48154,390380,569950,831443,1252737,1142578
2000-02-06,50917,51419,50541,51231,50303,50713,48197,48154,390380,569950,831443,1252737,1142578
2000-02-07,51231,52610,50917,50917,50453,50876,48222,48180,471720,570524,765828,1250126,1134773
2000-02-08,51419,52422,49663,50541,50528,50895,48228,48201,400570,508582,704777,1245247,1127565
2000-02-09,49789,51419,49789,50541,50829,50920,48260,48184,423410,442354,680266,1239181,1109074
2000-02-10,49789,49914,47029,47155,50077,50776,48251,48190,1015920,540400,687555,1236316,1098855
2000-02-11,47782,48284,45148,47468,49325,50629,48279,48191,1258180,713960,709956,1219648,1095236
2000-02-12,47782,48284,45148,47468,49325,50629,48279,48191,1258180,713960,709956,1219648,1095236
2000-02-13,47782,48284,45148,47468,49325,50629,48279,48191,1258180,713960,709956,1219648,1095236
2000-02-14,47468,48284,45086,45650,48271,50353,48290,48190,723690,764354,704599,1210221,1092220
2000-02-15,47657,47657,44208,45462,47255,49999,48308,48183,846800,853600,710706,1203716,1093243
2000-02-16,44459,45462,42515,45148,46177,49519,48364,48164,646220,898162,658343,1191151,1091895
2000-02-17,44647,47531,44647,47155,46177,49256,48445,48155,879130,870804,656952,1186319,1091228
2000-02-18,48284,52297,47657,47657,46214,48848,48480,48149,1734580,966084,711039,1192520,1089560
2000-02-19,48284,52297,47657,47657,46214,48848,48480,48149,1734580,966084,711039,1192520,1089560
2000-02-20,48284,52297,47657,47657,46214,48848,48480,48149,1734580,966084,711039,1192520,1089560
2000-02-21,47657,49412,47155,47657,46616,48716,48553,48164,601640,941674,706210,1188292,1076771
2000-02-22,47907,48534,45650,46402,46804,48541,48594,48162,498280,871970,707163,1182137,1073197
2000-02-23,46402,48221,45838,46402,47055,48431,48640,48166,699130,882552,718829,1186286,1073616
2000-02-24,46402,47531,45274,45525,46728,48268,48679,48151,391010,784928,717674,1181300,1070626
2000-02-25,45274,45274,43894,43894,45976,47954,48735,48130,448590,527730,694431,1174250,1066754
2000-02-26,45274,45274,43894,43894,45976,47954,48735,48130,448590,527730,694431,1174250,1066754
