date,start,high,low,end,end_5,end_20,end_60,end_120,amount,amount_5,amount_20,amount_60,amount_120
2000-01-01,5200,5560,5050,5320,5372,5210,4539,4256,1481697,1001664,955500,815122,964626
2000-01-02,5200,5560,5050,5320,5372,5210,4539,4256,1481697,1001664,955500,815122,964626
2000-01-03,5200,5560,5050,5320,5372,5210,4539,4256,1481697,1001664,955500,815122,964626
2000-01-04,6000,6110,5660,6110,5538,5260,4571,4282,1483967,1133086,957881,816875,967901
2000-01-05,5800,6060,5520,5580,5538,5289,4595,4303,1493604,1220354,979192,828262,966782
2000-01-06,5750,5780,5580,5620,5570,5314,4622,4323,1087810,1296227,988948,832483,965416
2000-01-07,5560,5670,5360,5540,5634,5316,4649,4342,806195,1270655,974416,835642,960069
2000-01-08,5560,5670,5360,5540,5634,5316,4649,4342,806195,1270655,974416,835642,960069
2000-01-09,5560,5670,5360,5540,5634,5316,4649,4342,806195,1270655,974416,835642,960069
2000-01-10,5600,5770,5580,5770,5724,5326,4677,4361,937615,1161838,975914,838064,956315
2000-01-11,5820,6100,5770,5770,5656,5341,4704,4380,1194974,1104040,999157,847130,956701
2000-01-12,5610,5740,5600,5720,5684,5357,4730,4399,584492,922217,973744,844954,952981
2000-01-13,5600,5740,5560,5710,5702,5377,4758,4419,823830,869421,972537,851141,949958
2000-01-14,5720,5880,5680,5830,5760,5410,4790,4439,987576,905697,975570,857544,948544
2000-01-15,5720,5880,5680,5830,5760,5410,4790,4439,987576,905697,975570,857544,948544
2000-01-16,5720,5880,5680,5830,5760,5410,4790,4439,987576,905697,975570,857544,948544
2000-01-17,6000,6180,5920,6100,5826,5460,4831,4464,1270138,972202,999464,859840,949289
2000-01-18,6160,6160,5980,6100,5892,5520,4872,4488,905231,914253,999185,858976,946726
2000-01-19,6000,6040,5960,5960,5940,5579,4910,4510,804159,958187,1004195,858048,945840
2000-01-20,5860,6040,5820,6040,6006,5636,4949,4531,746360,942693,987905,857635,935792
2000-01-21,5950,5980,5880,5880,6016,5682,4987,4547,650728,875323,987620,859125,927366
2000-01-22,5950,5980,5880,5880,6016,5682,4987,4547,650728,875323,987620,859125,927366
2000-01-23,5950,5980,5880,5880,6016,5682,4987,4547,650728,875323,987620,859125,927366
2000-01-24,5800,5900,5700,5700,5936,5715,5021,4563,687183,758732,973609,862575,916877
2000-01-25,5520,5640,5440,5440,5804,5723,5051,4577,885067,754699,976520,871944,914624
2000-01-26,5500,5520,5410,5480,5708,5718,5078,4590,585734,711014,952943,868244,912222
2000-01-27,5480,5620,5430,5520,5604,5721,5103,4604,558083,673359,945425,859930,911262
2000-01-28,5640,5880,5540,5820,5592,5751,5131,4622,766398,696493,937042,862482,910780
2000-01-29,5640,5880,5540,5820,5592,5751,5131,4622,766398,696493,937042,862482,910780
