date,price,next_price,diff_price,action,reward,cumulated_reward
2000-01-01,29951,29951,0,1,0.0,0.0
2000-01-02,29951,29951,0,-1,-0.0,0.0
2000-01-03,29951,27247,-2704,0,-0.0,0.0
2000-01-04,27247,27553,306,0,0.0,0.0
2000-01-05,27553,25920,-1633,1,-1633.0,-1633.0
2000-01-06,25920,26482,562,-1,-562.0,-2195.0
2000-01-07,26482,26482,0,1,0.0,-2195.0
2000-01-08,26482,26482,0,1,0.0,-2195.0
2000-01-09,26482,26278,-204,-1,204.0,-1991.0
2000-01-10,26278,25920,-358,1,-358.0,-2349.0
2000-01-11,25920,26533,613,0,0.0,-2349.0
2000-01-12,26533,24594,-1939,0,-0.0,-2349.0
2000-01-13,24594,25818,1224,-1,-1224.0,-3573.0
2000-01-14,25818,25818,0,1,0.0,-3573.0
2000-01-15,25818,25818,0,0,0.0,-3573.0
2000-01-16,25818,25410,-408,1,-408.0,-3981.0
2000-01-17,25410,26125,715,-1,-715.0,-4696.0
2000-01-18,26125,24492,-1633,-1,1633.0,-3063.0
2000-01-19,24492,23675,-817,-1,817.0,-2246.0
2000-01-20,23675,23267,-408,0,-0.0,-2246.0
2000-01-21,23267,23267,0,-1,-0.0,-2246.0
2000-01-22,23267,23267,0,-1,-0.0,-2246.0
2000-01-23,23267,23420,153,0,0.0,-2246.0
2000-01-24,23420,22043,-1377,1,-1377.0,-3623.0
2000-01-25,22043,22298,255,1,255.0,-3368.0
2000-01-26,22298,23675,1377,-1,-1377.0,-4745.0
2000-01-27,23675,26533,2858,0,0.0,-4745.0
2000-01-28,26533,26533,0,0,0.0,-4745.0
2000-01-29,26533,26533,0,0,0.0,-4745.0
2000-01-30,26533,26074,-459,0,-0.0,-4745.0
2000-01-31,26074,26227,153,0,0.0,-4745.0
2000-02-01,26227,26941,714,1,714.0,-4031.0
2000-02-02,26941,26635,-306,0,-0.0,-4031.0
2000-02-03,26635,26635,0,0,0.0,-4031.0
2000-02-04,26635,26635,0,0,0.0,-4031.0
2000-02-05,26635,26635,0,-1,-0.0,-4031.0
2000-02-06,26635,26431,-204,0,-0.0,-4031.0
2000-02-07,26431,26227,-204,0,-0.0,-4031.0
2000-02-08,26227,25410,-817,0,-0.0,-4031.0
2000-02-09,25410,24492,-918,1,-918.0,-4949.0
2000-02-10,24492,23982,-510,-1,510.0,-4439.0
2000-02-11,23982,23982,0,0,0.0,-4439.0
2000-02-12,23982,23982,0,0,0.0,-4439.0
2000-02-13,23982,23471,-511,-1,511.0,-3928.0
2000-02-14,23471,23675,204,0,0.0,-3928.0
2000-02-15,23675,24900,1225,-1,-1225.0,-5153.0
2000-02-16,24900,24492,-408,1,-408.0,-5561.0
2000-02-17,24492,25920,1428,0,0.0,-5561.0
2000-02-18,25920,25920,0,0,0.0,-5561.0
